PRT_ID,AREA,SQFT,BEDROOM,BATHROOM,NO_OF_ROOM,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,PARKING
P03210,Karapakkam,1004,1,1,3,Yes,Commercial,AllPub,Paved,A,4,3.9,4.9,4.33,380000,144400,7600000,1
P09411,Anna Nagar,1986,2,1,5,No,Commercial,AllPub,Gravel,RH,4.9,4.2,2.5,3.765,760122,304049,21717770,0
P01812,Adyar,909,1,1,3,Yes,Commercial,ELO,Gravel,RL,4.1,3.8,2.2,3.09,421094,92114,13159200,1
P05346,Velachery,1855,3,2,5,No,Others,NoSewr ,Paved,I,4.7,3.9,3.6,4.01,356321,77042,9630290,0
P06210,Karapakkam,1226,1,1,3,Yes,Others,AllPub,Gravel,C,3,2.5,4.1,3.29,237000,74063,7406250,1
P00219,Chrompet,1220,2,1,4,No,Commercial,NoSeWa,No Access,RH,4.5,2.6,3.1,3.32,409027,198316,12394750,0
P09105,Chrompet,1167,1,1,3,No,Other,AllPub,No Access,RL,3.6,2.1,2.5,2.67,263152,33955,8488790,0
P09679,Velachery,1847,3,2,5,No,Commercial,AllPub,Gravel,RM,2.4,4.5,2.1,3.26,604809,235204,16800250,0
P03377,Chrompet,771,1,1,2,No,Others,NoSewr ,Paved,RM,2.9,3.7,4,3.55,257578,33236,8308970,0
P09623,Velachery,1635,2,1,4,No,Others,ELO,No Access,I,3.1,3.1,3.3,3.16,323346,121255,8083650,0
P09540,Chrompet,1203,2,1,4,Yes,Commercial,AllPub,No Access,RM,4,3.2,4.5,3.83,403326,119504,14938000,1
P07121,Chrompet,1054,1,1,3,No,Others,NoSewr ,Gravel,RM,2.2,3.1,3.3,2.89,245693,141746,9449730,0
P05512,Chrompet,1196,1,1,3,No,Others,NoSewr ,No Access,RL,2.1,2.5,2.1,2.26,289554,35097,8774370,0
